metric,value
seed,2026
n_points,6.0
r_fixed_m,1100.0
t_min_m,200.0
t_max_m,1000.0
best_t_m,800.0
best_median_D_m,58.03048043337924
best_p90_D_m,74.80327372245922
best_clearable_frac,0.0
best_median_psi_deg,113.3985844261144
n_one_shot_grid,0.0
t200_median_D_m,93.12188998054617
t500_median_D_m,61.8675348289663
t800_median_D_m,58.03048043337924
t1000_median_D_m,60.2860216796698
t200_one_shot,0.0
t500_one_shot,0.0
t1000_one_shot,0.0
delta_median_D_t200_minus_best_m,35.09140954716693
decision_prefers_t800_not_t200,1.0
err05_median_D_m,30.993105387039254
err10_median_D_m,61.8675348289663
err15_median_D_m,92.65402329055611
err05_one_shot,1.0
err10_one_shot,0.0
err15_one_shot,0.0
err_one_shot_flips,1.0
clear_diameter_m,40.0
