i,x,y,role
1,0.0,0.0,原点
2,1000.0,0.0,内圈9盘
3,707.1067811865476,707.1067811865476,内圈9盘
4,6.123233995736766e-14,1000.0,内圈9盘
5,-707.1067811865474,707.1067811865476,内圈9盘
6,-1000.0,1.2246467991473532e-13,内圈9盘
7,-707.1067811865477,-707.1067811865474,内圈9盘
8,-1.8369701987210297e-13,-1000.0,内圈9盘
9,707.1067811865473,-707.1067811865477,内圈9盘
10,2000.0,0.0,外环R12
11,1732.0508075688774,999.9999999999999,外环R12
12,1000.0000000000002,1732.0508075688772,外环R12
13,1.2246467991473532e-13,2000.0,外环R12
14,-999.9999999999995,1732.0508075688774,外环R12
15,-1732.0508075688774,999.9999999999999,外环R12
16,-2000.0,2.4492935982947065e-13,外环R12
17,-1732.0508075688776,-999.9999999999994,外环R12
18,-1000.0000000000009,-1732.050807568877,外环R12
19,-3.6739403974420595e-13,-2000.0,外环R12
20,1000.0000000000002,-1732.0508075688772,外环R12
21,1732.0508075688767,-1000.0000000000009,外环R12
