quantity,value,unit,note
theta_star_deg,22.332,deg,arccos(1850/2000)
origin_circle_open_lo_deg,22.332,deg,open interval around bisector
origin_circle_open_hi_deg,22.668,deg,45-theta_star
named_heading_deg,22.5,deg,G_L heading
G_L_radius_m,1000,m,origin circle
octagon_inradius_m,877.69,m,950*cos(pi/8)
fill_enter_small_root_m,1002.93,m,radial slice upper
radial_slice_lo_m,877.69,m,open
radial_slice_hi_m,1002.93,m,open
G_L_fill_dist_m,1002.07,m,>1000 so fill misses G_L
G_L_gamma_deg,217.19,deg,>180
n_phi_grid,72,1,5 deg step
grid_contains_22p5,0,1,check not theorem
grid_points_in_open_interval,0,1,5 deg misses leftover
r1000_full_hear_72,1,1,grid check that eats leftover
G_L_hear,0,1,heading 22.5 at r=1000
