k,diameter,covers,sec_radius,n_vertices,area,helper_in_wedges
0,127.71500961571381,1,63.857504807856905,4,1247.2745190036367,1
1,29.76356833332575,1,14.881784166662875,4,155.46472687644564,1
2,39.411480724201176,1,19.705740362100588,4,102.05501657133709,1
3,41.31552389931145,1,20.657761949655725,4,238.74995031428261,1
4,29.76732238915441,1,14.883661194577204,4,195.91195441088712,1
5,51.110835270965715,1,25.555417635482858,4,437.0737356132845,1
6,41.85402279445602,1,20.92701139722801,4,221.90410344196505,1
7,46.225126525480746,1,23.112563262740373,4,326.2733033522036,1
8,48.935222167334594,1,24.467611083667297,4,782.7030406541671,1
9,486.15548666829255,1,243.07774333414628,5,9541.886535946687,1
10,133.2740819624028,1,66.6370409812014,4,1998.2900720405305,1
11,78.41035835478067,1,39.205179177390335,4,1218.8652953472338,1
12,252.54682888202328,1,126.27341444101164,4,5011.057237826026,1
13,29.459071723712825,1,14.729535861856412,4,25.66362708718225,1
14,246.12937530794667,1,123.06468765397334,4,3802.63219942505,1
15,724.2258240024947,1,362.11291200124737,5,13238.542855645617,1
16,93.71032487946734,1,46.85516243973367,4,1057.6131609114236,1
17,41.063194298447335,1,20.531597149223668,4,336.02482788421366,1
18,132.21861267778397,1,66.10930633889198,4,1773.630442238733,1
19,112.59727828998749,1,56.29863914499374,4,798.7917747042702,1
20,256.8283409297922,1,128.4141704648961,4,4661.529464791165,1
21,523.7600189335683,1,261.88000946678414,5,14556.38767322556,1
22,660.1864068579354,1,330.0932034289677,4,7335.951349559633,1
23,31.07312386930799,1,15.536561934653996,4,92.12141088878707,1
24,842.7945019400578,0,421.446930957889,5,20308.669220596115,1
25,79.81453870111899,1,39.907269350559496,4,822.6241813046072,1
26,151.22441278651257,1,75.61220639325629,4,928.4761983052758,1
27,44.4776213972975,1,22.23881069864875,4,267.8423966348462,1
28,484.69915719277964,1,242.34957859638982,4,2664.5972545878085,1
29,93.13745183303502,1,46.56872591651751,4,1054.066976208007,1
30,226.9042855005983,1,113.45214275029915,5,6405.0392646316905,1
31,120.51323779428463,1,60.25661889714232,5,2757.70653361507,1
32,200.04479624257328,1,100.02239812128664,4,2271.0236931639365,1
33,326.79321676041036,1,163.39660838020518,4,3071.278113274806,1
34,226.13844094099085,0,113.13548332916088,5,4579.011548535462,1
35,132.38574553395176,1,66.19287276697588,4,2700.3250970787194,1
36,135.6976110777942,1,67.8488055388971,4,1983.8370577996466,1
37,62.63745272115559,1,31.318726360577795,4,831.3102576291712,1
38,130.38268038176557,1,65.19134019088278,4,1741.4736307520252,1
39,22.985911150607965,1,11.492955575303982,4,213.86812328727956,1
40,17.311979399342434,1,8.655989699671217,4,117.76680292642686,1
41,37.62242284279352,1,18.81121142139676,4,38.11457057134976,1
42,314.20813285300017,1,157.10406642650008,4,4073.114105556917,1
43,239.5889429836243,1,119.79447149181215,4,4325.710565889749,1
44,7.653510104287932,1,3.826755052143966,4,8.940298405077556,1
45,63.64596139079448,1,31.82298069539724,4,804.4636682022683,1
46,87.08194976923687,1,43.540974884618436,4,588.0546459474426,1
47,273.43942088743484,1,136.71971044371742,4,4168.693274967953,1
48,556.4661043868081,1,278.23305219340403,4,5808.405563307526,1
