metric,value
seed,2026
q3_scout_n,9.0
q3_omni_cover_frac_r1000,1.0
q3_omni_covering_radius_m,956.0510880488383
q3_omni_covers,1.0
q4_lattice_n,37.0
q4_lattice_spacing_m,850.0
q4_lattice_shift_a_m,500.0
q4_lattice_covering_radius_m,490.7477288111819
q4_lattice_a_plus_rho_m,990.7477288111819
q4_lattice_a_minus_rho_m,9.2522711888181
q4_lattice_exists_a,1.0
q4_lattice_s900_exists_a,0.0
q4_lattice_s900_covering_radius_m,519.6152422706632
q4_lattice_grid_all_heard,1.0
q4_lattice_grid_is_theorem,0.0
q4_optical_step_m,25.0
q4_optical_cell_circumradius_m,17.677669529663685
q4_optical_covers,1.0
r_eff_min_m,1000.0
arena_r_m,1800.0
